title,wine_type,variety,flavor_categories_taste_notes,points,description,price,winery,country,province,region
Château Canon la Gaffelière 2009  Saint-Émilion,Red,Bordeaux-style Red Blend,"medium bodied, balanced",95,"One of the peculiarities of St.-Émilion's classification is that Canon la Gaffelière is not classed in the top rung. Because, as this wine shows, it produces superb wines. This is ripe while so elegant, with great intensity and sweet perfumes.",110,Château Canon la Gaffelière,France,Bordeaux,Saint-Émilion
Doyenne 2008 Grand Ciel Vineyard Syrah (Red Mountain),Red,Syrah,"full bodied, robust",95,"Certainly the finest Grand Ciel Syrah to date, this is a full-flavored, complete wine, loaded with pure fruit flavors of berry and cassis. The details pile on—a whiff of stone, a hint of chocolate, suggestions of spice, all in perfect proportion.",60,Doyenne,US,Washington,Red Mountain
Artadi 2011 Viña El Pison  (Rioja),Red,Tempranillo Blend,"full bodied, robust",95,"Artadi's top wine is dynamite in a bottle. Ripe, saturated, oaky aromas of blackberry, leather, blueberry pie and aged cheese are incredibly potent and alluring. This is huge in the mouth, with lemony oak and broad tannins that don't grind. Intense blackberry, coffee, toast and smoky flavors finish a mile deep, with all sorts of textural grab and character. Best from 2016 through 2026.",300,Artadi,Spain,Northern Spain,Rioja
Aurelio Settimo 2010 Rocche dell'Annunziata  (Barolo),Red,Nebbiolo,"full bodied, robust",95,"This structured wine opens with earthy aromas of tilled soil, underbrush, leather, cedar, bright berries and baking spices. The vibrant palate displays classic Nebbiolo flavors of crushed dark cherry, clove, cinnamon, truffle, sage, thyme and licorice alongside brisk acidity and bracing but noble tannins. It will bloom into a beauty. Drink 2020–2040.",65,Aurelio Settimo,Italy,Piedmont,Barolo
Giacomo Fenocchio 2010 Villero  (Barolo),Red,Nebbiolo,"medium bodied, balanced",95,"Scents of woodland berries, violets, dried rose petals, baking spices and Mediterranean herbs emerge from this wine. Crushed Morello cherry, graphite, red raspberry and white pepper all come seamlessly together on the palate alongside invigorating energy and intensity. It shows fantastic aging potential. Drink 2020–2040.",60,Giacomo Fenocchio,Italy,Piedmont,Barolo
Giovanni Rosso 2010 Cerretta  (Barolo),Red,Nebbiolo,"full bodied, robust",95,"Aromas of Mediterranean herbs, hay, leather and red berry come together in this structured Barolo. Loaded with energy and intensity, it delivers creamy cherry-berry flavors layered with white pepper, clove, nutmeg and orange zest. It already has depth but needs time to develop complexity. Drink after 2022.",96,Giovanni Rosso,Italy,Piedmont,Barolo
Rizzi 2009 Boito Riserva  (Barbaresco),Red,Nebbiolo,"medium bodied, balanced",95,"It offers classic Nebbiolo scents of red berry, forest floor, violet, baking spices, leather and Mediterranean herbs. The juicy palate doles out bright red cherry, mint, sage and black pepper alongside firm but velvety tannins and fresh acidity. Drink 2016–2024.",59,Rizzi,Italy,Piedmont,Barbaresco
Flora Springs 2008 Hillside Reserve Cabernet Sauvignon (Rutherford),Red,Cabernet Sauvignon,"medium bodied, balanced",95,"A wonderfully smooth, dry, complex young Cabernet, and yes, the tannins have that famous Rutherford dust. The wine is the opposite of a fruit bomb, with moderate alcohol and interesting flavors of herbs, cherries, blackberries and spicy sandalwood. As good as it is now, it should ride out the next 8–10 years.",100,Flora Springs,US,California,Rutherford
Hirsch 2007 San Andreas Pinot Noir (Sonoma Coast),Red,Pinot Noir,"light, fruity",95,"Young and tart in cool-climate acidity, this Pinot needs time in the cellar. It's an exotic wine, spicy and peppery, almost briary, like a Zinfandel, except with flavors of wild forest raspberries, cherries, orange zest and a hint of pine cone. It's as cellarable a Pinot Noir as exists in California. Best after 2015.",60,Hirsch,US,California,Sonoma Coast
Joseph Drouhin 2008  Charmes-Chambertin,Red,Pinot Noir,"full bodied, robust",95,"Structured, concentrated, a wine that shows power from both fruit and tannins. The opulent strawberry flavors are paralleled by firm, dry tannins. As the combination comes together, this will become a glorious wine.",164,Joseph Drouhin,France,Burgundy,Charmes-Chambertin
Wayfarer 2014 The Traveler Pinot Noir (Fort Ross-Seaview),Red,Pinot Noir,"medium bodied, balanced",98,"Structured, with years to go to take on added complexity and personality, this wine is also a study in immediate gratification, as it's presently so juicy and easy to enjoy. It comes from an east-facing block, planted to a suitcase clone. Exotic, rich red and black berry and cinnamon form an alliance of balance and mouthwatering seduction. The oak and tannin are fully in sync, while a salty, meaty finish provides additional decadence.",155,Wayfarer,US,California,Fort Ross-Seaview
Limerick Lane 2013 Rocky Knoll Zinfandel (Russian River Valley),Red,Zinfandel,"medium bodied, balanced",97,"This wine is insanely good, from a dry-farmed, yes, rocky outcropping of vines planted first in 1910, then again in 1934 and the 1970s, with Carignane and Petite Sirah in the mix. It's thick, rich and beautifully put-together, full bodied and entirely balanced, with markings of cherry cordial and white pepper that seduce gently.",50,Limerick Lane,US,California,Russian River Valley
Wayfarer 2014 Golden Mean Pinot Noir (Fort Ross-Seaview),Red,Pinot Noir,"full bodied, robust",97,"Dark, brooding cinnamon and fleshy black plum provide an exciting, complex counterpoint to the rakish earthiness and exotic Asian spice going on in this full-bodied, explosively compelling wine, its minerality lingering. It's young and still tightly coiled, with lingering minerality; let it open to enjoy now, but it would show best after some time, so cellar through 2024.",115,Wayfarer,US,California,Fort Ross-Seaview
Calera 2013 Reed Pinot Noir (Mt. Harlan),Red,Pinot Noir,"full bodied, robust",96,"From a vineyard that Josh Jensen planted in 1975 comes this bottling that shows sultry black plum, minty herbs, tarragon, black slate, smashed mulberry and a touch of pork fat. A wondrous array of baked red and black fruit meet with clove, nutmeg, more tarragon and minty flavors on the palate too, producing delicious, dynamic flavor. It's like an expertly cooked stew of fruit, spice and herb.",70,Calera,US,California,Mt. Harlan
Wayfarer 2014 Mother Rock Pinot Noir (Fort Ross-Seaview),Red,Pinot Noir,"medium bodied, balanced",96,"Youthfully flippant, this block of the Wayfarer Vineyard is sitting largely in sandstone, where the grapes pull remarkably revealing minerality from the soil. Racy and flinty, this medium-bodied, structured and flirty wine dances in a generosity of rich red fruit, raspberry mostly, seasoned in clove and cardamom that's fresh and incredibly seductive. Still, it'll age; drink now through 2024.",115,Wayfarer,US,California,Fort Ross-Seaview
Donum 2013 Single Vineyard Reserve Pinot Noir (Russian River Valley),Red,Pinot Noir,"medium bodied, balanced",96,"With a majority of Pommard clone in this wine contributing to its undeniable breadth and depth, this rich, rewarding wine will benefit from further time in bottle. Sultry baking spice accents kirsch and strawberry, with understudies of tar, rose garden and tannin, all framed by moderate acidity. Cellar through 2023.",90,Donum,US,California,Russian River Valley
Wayfarer 2014 Paige's Ridge Pinot Noir (Fort Ross-Seaview),Red,Pinot Noir,"light, fruity",96,"Floral in aromas and yet darkly savory in cherry and clove, this full-bodied wine holds layered acidity and balanced oak at its core. It hails from one block of the vineyard and spent time in entirely new French oak. Baked raspberry tart finds a happy companion in the richness of maple and velvety tannin. Drink now through 2024.",115,Wayfarer,US,California,Fort Ross-Seaview
Williams Selyem 2014 Westside Road Neighbors Pinot Noir (Russian River Valley),Red,Pinot Noir,"medium bodied, balanced",96,"Oh to have neighbors like these, bringing together several vineyard sites along this coveted stretch of the appellation. This bottling shows full-bodied richness and minerality dotted in a rose garden of pretty aromas and flavors. It's the silky-smooth texture that's most memorable, accented in earthy black tea and subtle oak tones.",69,Williams Selyem,US,California,Russian River Valley
Calera 2013 Jensen Pinot Noir (Mt. Harlan),Red,Pinot Noir,"full bodied, robust",96,"A stunning range of black sage, fresh bay leaf, hearty mulberry, exotic cinnamon, raw beef and baking spice converge for a rugged yet pretty nose on this bottling from a vineyard planted in 1975. Elderberry and elderflower show on the sip, as do beet juice, dried ginger, crushed rocks, potting soils and a concentrated potpourri of purple flowers.",88,Calera,US,California,Mt. Harlan
Giuseppe Rinaldi 2012 Brunate  (Barolo),Red,Nebbiolo,"medium bodied, balanced",96,"Multifaceted aromas of rose, iris, leather, cranberry, truffle and the barest hint of game lead the nose. The radiant palate offers creamy strawberry, ripe red cherry, orange zest, baking spice, dried herb and tobacco alongside firm but polished tannins. Fresh acidity provides balance while a mineral vein energizes the finish. With its smooth texture, it's already tempting but hold for even more complexity. Drink 2018–2026.",146,Giuseppe Rinaldi,Italy,Piedmont,Barolo
Donum 2013 Single Vineyard Pinot Noir (Russian River Valley),Red,Pinot Noir,"light, fruity",95,"The producer's Russian River Valley fruit comes from the Winside Vineyard, planted long ago by Anne Moller-Racke and Joe Nugent. It astounds in this must-have wine, complex and ridiculously velvety in texture. Pepper, clove and cardamom ride huge waves of baked fruit and mocha, with the structure to age through at least 2026, but why wait when it's so delicious now?",72,Donum,US,California,Russian River Valley
Massolino 2012 Parafada  (Barolo),Red,Nebbiolo,"medium bodied, balanced",95,"95   Massolino 2012 Parafada (Barolo). A textbook Barolo, this opens with scents of mature berry, leather, underbrush, tobacco and an elegant trace of fragrant blue flower. The well-structured palate delivers succulent black cherry, crushed raspberry, cinnamon, licorice, clove and mineral alongside a backbone of firm yet refined tannins. Drink 2020–2030.",96,Massolino,Italy,Piedmont,Barolo
Byron 2013 Julia's Vineyard Pinot Noir (Santa Maria Valley),Red,Pinot Noir,"medium bodied, balanced",95,"Bruised strawberries and ripe red plums are leveled by iron, ginger snaps, crushed slate and soy on the umami-laden nose of this bottling by Winemaker Jonathan Nagy. Intriguing river--stone minerality powers the palate, where black plums and olallieberries meet with black spice and lots of florality.",45,Byron,US,California,Santa Maria Valley
Carlisle 2014 Saitone Ranch Zinfandel (Russian River Valley),Red,Zinfandel,"full bodied, robust",95,"The appellation famous for Pinot Noir and Chardonnay packs a powerfully pretty punch when it comes to this variety, too, showing in this wine a soft, focused layering of Luxardo maraschino cherry and touch of cranberry. It then reveals an underlying richness that rewards the patient with a splash of white and black pepper, leaving an indelible stamp on the palate. Drink now through 2024.",47,Carlisle,US,California,Russian River Valley
Wayfarer 2014 Wayfarer Vineyard Pinot Noir (Fort Ross-Seaview),Red,Pinot Noir,"medium bodied, balanced",95,"Crafted from 12 different clones planted throughout the estate vineyard, farmed to perfection, this is a delicious and exuberant expression of blueberry crumble that's succulent and inviting in every way. Full bodied, it retains enough acidity to remain mouthwatering and yet complex, a subtlety of white pepper and cardamom biting at the its heels. Drink now through 2024.",90,Wayfarer,US,California,Fort Ross-Seaview
Giacomo Conterno 2011 Francia  (Barolo),Red,Nebbiolo,"medium bodied, balanced",95,"Roberto Conterno didn't make his flagship Monfortino in this vintage so he blended the juice destined for this iconic wine into Francia. It opens with enticing aromas of dark berry, underbrush, baking spice, mineral and a balsamic note that carry over to the powerful palate, along with juicy raspberry, licorice and tobacco. It's big and structured but also shows balance and complexity. Drink 2019–2029.",225,Giacomo Conterno,Italy,Piedmont,Barolo
Biondi 2014 Contrada Monte San Nicolò  (Etna),Red,Red Blend,"medium bodied, balanced",95,"Fragrant and loaded with finesse, this opens with aromas of wild berry, blue flower, new leather, aromatic herb and a whiff of exotic spice. The structured, elegant palate delivers layers of red cherry, strawberry, flinty mineral, orange zest, star anise and clove framed in firm, polished tannins and bright acidity. It's still young and will develop even more complexity. Drink 2019–2029.",30,Biondi,Italy,Sicily & Sardinia,Etna
Biondi 2014 Outis Rosso  (Etna),Red,Red Blend,"full bodied, robust",95,"This gorgeous wine opens with aromas of smoke, baking spice, red berry and flint. The mineral note carries over to the vibrant, silky palate, accenting juicy Morello cherry, white pepper, star anise, Mediterranean herb and tobacco. Polished tannins and fresh acidity provide impeccable balance. Hold for more complexity. Drink 2019–2027.",40,Biondi,Italy,Sicily & Sardinia,Etna
Chanin 2014 Los Alamos Vineyard Pinot Noir (Santa Barbara County),Red,Pinot Noir,"light, fruity",95,"Gavin Chanin is expert at showing off individual vineyards, which is most evident in this bottling from a less iconic, larger site. Baked cherry, allspice, raw beef and light bay leaf show on the nose, while the palate carries ripe strawberry and a red-cherry core surrounded by zesty thyme, dill, mint and a touch of green olive. The light yet grippy texture is stunning.",50,Chanin,US,California,Santa Barbara County
COS 2014 Pithos Rosso Red (Vittoria),Red,Red Blend,"full bodied, robust",95,"Radiant and earthy, this blend of Frappato and Nero d'Avola boasts enticing scents suggesting dark-skinned berry, leather, sunbaked earth, sea breeze and a floral note. The creamy, succulent palate doles out juicy black cherry, black raspberry, white pepper and aromatic herb alongside supple tannins and fresh acidity. A saline note wraps up the finish. Drink 2017–2024.",30,COS,Italy,Sicily & Sardinia,Vittoria
Pirouette 2009 Red (Columbia Valley (WA)),Red,Bordeaux-style Red Blend,other,95,"A four-grape, Bordeaux-style blend, this packs 57% Cabernet Sauvignon, 27% Merlot, 13% Cabernet Franc and 3% Malbec. Refined and elegant, it is precisely structured, with a firm herbal attack and a perfect blend of berry and cassis flavors. It's dense, deep and compact, suggesting long aging ahead.",50,Pirouette,US,Washington,Columbia Valley (WA)
Prime 2009 Cabernet Sauvignon (Coombsville),Red,Cabernet Sauvignon,"full bodied, robust",95,"A wonderful 100% Cabernet, this is Prime's first wine to bear the new Coombsville appellation. It's smooth, elegant and complex, with layers of blackberry and crème de cassis. It's beautiful now and over the next eight years.",59,Prime,US,California,Coombsville
Copain Wines 2009 Monument Tree Pinot Noir (Anderson Valley),Red,Pinot Noir,"full bodied, robust",95,"Outstanding. So dry and elegant, with such a deft, delicate texture, yet so explosive in fruit and spice. Bone dry, it has notes of herbs, cinnamon, raspberries and white pepper. A gorgeous, complex wine, one to think about and discuss.",50,Copain Wines,US,California,Anderson Valley
Copain Wines 2009 Wentzel Pinot Noir (Anderson Valley),Red,Pinot Noir,"full bodied, robust",95,"Brilliantly dry and rich in acidity, this Pinot feels very refined in the mouth. With relatively modest alcohol, it offers an elegant and refreshing alternative to the heavy style of many California Pinot Noirs. Offers notes of earth, cherries, mushrooms, spices and sweet sandalwood.",50,Copain Wines,US,California,Anderson Valley
Doubleback 2010 Cabernet Sauvignon (Walla Walla Valley (WA)),Red,Cabernet Sauvignon,"full bodied, robust",95,"This is a heavy-duty Cabernet, big in every way, with rich black cherry and cassis fruit, and dense, dark tannins. The long, slightly grainy finish reinforces the impression of raw power, yet the wine retains perfect proportion and is nicely differentiated from the other 2010s crafted by winemaker Chris Figgins.",89,Doubleback,US,Washington,Walla Walla Valley (WA)
Nickel & Nickel 2010 Harris Vineyard Merlot (Oakville),Red,Merlot,"full bodied, robust",95,"This is a great Merlot that's intensely concentrated and dazzlingly rich—everything you want a Merlot to be. It's power packed with black cherries, cherry liqueur, cocoa and sweet oak, with firm, hard tannins. That is, of course, the Nickel & Nickel style. It shows classic Oakville structure and a hard-to-define elegance, making it one of the best Merlots of the vintage.",53,Nickel & Nickel,US,California,Oakville
Leonetti Cellar 2010 Reserve Red (Walla Walla Valley (WA)),Red,Bordeaux-style Red Blend,"full bodied, robust",95,"Leonetti's 2010 Reserve includes 52% Cabernet Sauvignon, 30% Merlot, 9% Cabernet Franc and 9% Malbec—a more complex blend than the 2009. It opens with a lovely floral aroma—a bouquet of clover and white flowers—then heads for the dark side, with black cherry and cassis. It's a big, tannic wine, beautifully crafted, and clearly differentiated from the winery's regular Cabernet bottling.",140,Leonetti Cellar,US,Washington,Walla Walla Valley (WA)
